Time,ObjectCount,FPS,FrameTime(ms),PhysicsTime(ms),TotalMemory(MB),ActiveObjects
0.88,5000,504.1,1.9839,0.0000,739,5000
0.88,5000,516.7,1.9354,0.0000,739,5000
0.88,5000,535.8,1.8664,0.0000,739,5000
0.89,5000,465.8,2.1469,0.0000,740,5000
0.89,5000,397.0,2.5192,0.0000,740,5000
0.89,5000,214.2,4.6678,1.0150,740,5000
0.90,5000,346.6,2.8851,0.0000,740,5000
0.90,5000,380.7,2.6267,0.0000,740,5000
0.90,5000,404.3,2.4734,0.0000,740,5000
0.90,5000,454.1,2.2023,0.0000,740,5000
0.91,5000,358.3,2.7911,0.0000,740,5000
0.91,5000,352.8,2.8341,0.0000,740,5000
0.91,5000,218.1,4.5852,0.9834,740,5000
0.92,5000,511.6,1.9545,0.0000,740,5000
0.92,5000,499.1,2.0038,0.0000,740,5000
0.92,5000,477.4,2.0947,0.0000,740,5000
0.92,5000,438.1,2.2826,0.0000,740,5000
0.92,5000,389.4,2.5679,0.0000,740,5000
0.93,5000,373.8,2.6750,0.0000,740,5000
0.93,5000,221.8,4.5077,1.1949,740,5000
0.93,5000,453.0,2.2075,0.0000,740,5000
0.94,5000,511.5,1.9549,0.0000,740,5000
0.94,5000,493.0,2.0283,0.0000,740,5000
0.94,5000,537.7,1.8597,0.0000,741,5000
0.94,5000,403.7,2.4772,0.0000,741,5000
0.94,5000,520.1,1.9226,0.0000,741,5000
0.95,5000,359.6,2.7805,0.0000,741,5000
0.95,5000,222.0,4.5053,0.7600,741,5000
0.95,5000,523.7,1.9095,0.0000,741,5000
0.96,5000,527.9,1.8943,0.0000,741,5000
0.96,5000,522.4,1.9142,0.0000,741,5000
0.96,5000,511.0,1.9571,0.0000,741,5000
0.96,5000,510.6,1.9583,0.0000,741,5000
0.97,5000,233.1,4.2898,0.0000,739,5000
0.97,5000,494.7,2.0215,0.0000,739,5000
0.97,5000,235.8,4.2417,0.9250,739,5000
0.97,5000,529.1,1.8900,0.0000,739,5000
0.98,5000,479.4,2.0860,0.0000,739,5000
0.98,5000,445.2,2.2460,0.0000,739,5000
0.98,5000,365.1,2.7387,0.0000,739,5000
0.98,5000,514.1,1.9451,0.0000,739,5000
0.98,5000,520.1,1.9226,0.0000,739,5000
0.99,5000,545.7,1.8324,0.0000,739,5000
0.99,5000,535.5,1.8674,0.0000,739,5000
0.99,5000,224.9,4.4463,1.0452,739,5000
0.99,5000,509.3,1.9633,0.0000,739,5000
1.00,5000,520.6,1.9208,0.0000,739,5000
1.00,5000,442.0,2.2623,0.0000,739,5000
1.00,5000,455.5,2.1955,0.0000,739,5000
1.00,5000,386.4,2.5878,0.0000,739,5000
1.01,5000,491.3,2.0355,0.0000,739,5000
1.01,5000,404.8,2.4703,0.0000,739,5000
1.01,5000,216.3,4.6232,0.7819,739,5000
1.02,5000,380.3,2.6294,0.0000,739,5000
1.02,5000,467.1,2.1409,0.0000,739,5000
1.02,5000,294.6,3.3945,0.0000,739,5000
1.02,5000,515.7,1.9393,0.0000,739,5000
1.02,5000,527.6,1.8953,0.0000,739,5000
1.03,5000,517.4,1.9326,0.0000,739,5000
1.03,5000,509.7,1.9621,0.0000,739,5000
1.03,5000,241.1,4.1481,0.9181,739,5000
1.03,5000,524.8,1.9055,0.0000,740,5000
1.04,5000,517.4,1.9326,0.0000,740,5000
1.04,5000,489.0,2.0451,0.0000,740,5000
1.04,5000,517.3,1.9332,0.0000,740,5000
1.04,5000,530.5,1.8850,0.0000,740,5000
1.04,5000,525.5,1.9029,0.0000,740,5000
1.05,5000,525.6,1.9025,0.0000,740,5000
1.05,5000,489.7,2.0421,0.0000,740,5000
1.05,5000,182.0,5.4960,1.3110,740,5000
1.06,5000,378.3,2.6435,0.0000,740,5000
1.06,5000,348.6,2.8683,0.0000,740,5000
1.06,5000,467.6,2.1385,0.0000,740,5000
1.06,5000,523.4,1.9106,0.0000,740,5000
1.07,5000,509.8,1.9616,0.0000,740,5000
1.07,5000,353.3,2.8304,0.0000,740,5000
1.07,5000,233.3,4.2864,0.9360,740,5000
1.07,5000,514.0,1.9455,0.0000,740,5000
1.08,5000,389.2,2.5693,0.0000,740,5000
1.08,5000,538.6,1.8568,0.0000,740,5000
1.08,5000,527.6,1.8954,0.0000,740,5000
1.08,5000,517.2,1.9333,0.0000,740,5000
1.09,5000,481.6,2.0762,0.0000,740,5000
1.09,5000,523.5,1.9103,0.0000,740,5000
1.09,5000,339.2,2.9483,0.0000,740,5000
1.09,5000,230.1,4.3451,1.0295,740,5000
1.10,5000,519.8,1.9238,0.0000,740,5000
1.10,5000,389.8,2.5652,0.0000,741,5000
1.10,5000,524.0,1.9083,0.0000,741,5000
1.10,5000,523.4,1.9105,0.0000,741,5000
1.11,5000,390.2,2.5630,0.0000,741,5000
1.11,5000,532.6,1.8776,0.0000,741,5000
1.11,5000,529.8,1.8876,0.0000,741,5000
1.11,5000,231.3,4.3243,1.0204,741,5000
1.12,5000,317.5,3.1494,0.0000,741,5000
1.12,5000,372.3,2.6859,0.0000,741,5000
1.12,5000,456.8,2.1890,0.0000,741,5000
1.12,5000,516.8,1.9351,0.0000,741,5000
1.13,5000,519.8,1.9240,0.0000,741,5000
1.13,5000,507.4,1.9709,0.0000,741,5000
1.13,5000,440.7,2.2691,0.0000,741,5000
1.13,5000,204.6,4.8864,1.1680,741,5000
1.14,5000,509.5,1.9629,0.0000,741,5000
1.14,5000,527.6,1.8954,0.0000,741,5000
1.14,5000,474.8,2.1060,0.0000,741,5000
1.14,5000,499.0,2.0041,0.0000,741,5000
1.14,5000,490.5,2.0387,0.0000,741,5000
1.15,5000,511.7,1.9544,0.0000,741,5000
1.15,5000,531.4,1.8817,0.0000,741,5000
1.15,5000,205.4,4.8686,1.1223,741,5000
1.16,5000,372.5,2.6849,0.0000,742,5000
1.16,5000,511.3,1.9559,0.0000,742,5000
1.16,5000,500.7,1.9971,0.0000,742,5000
1.16,5000,195.7,5.1103,0.0000,739,5000
1.17,5000,504.1,1.9838,0.0000,739,5000
1.17,5000,523.0,1.9122,0.0000,739,5000
1.17,5000,229.9,4.3492,1.0448,739,5000
1.18,5000,366.3,2.7298,0.0000,739,5000
1.18,5000,388.7,2.5727,0.0000,739,5000
1.18,5000,508.1,1.9680,0.0000,740,5000
1.18,5000,537.1,1.8618,0.0000,740,5000
1.18,5000,393.5,2.5412,0.0000,740,5000
1.19,5000,494.3,2.0231,0.0000,740,5000
1.19,5000,406.6,2.4596,0.0000,740,5000
1.19,5000,211.1,4.7368,1.1107,740,5000
1.20,5000,480.1,2.0828,0.0000,740,5000
1.20,5000,477.4,2.0947,0.0000,740,5000
1.20,5000,399.0,2.5064,0.0000,740,5000
1.20,5000,518.6,1.9282,0.0000,740,5000
1.20,5000,532.4,1.8783,0.0000,740,5000
1.21,5000,495.9,2.0167,0.0000,740,5000
1.21,5000,529.8,1.8874,0.0000,740,5000
1.21,5000,215.1,4.6497,0.9786,740,5000
1.21,5000,506.5,1.9745,0.0000,740,5000
1.22,5000,521.4,1.9178,0.0000,740,5000
1.22,5000,380.9,2.6254,0.0000,740,5000
1.22,5000,501.0,1.9960,0.0000,740,5000
1.22,5000,526.4,1.8998,0.0000,740,5000
1.23,5000,537.9,1.8591,0.0000,740,5000
1.23,5000,534.6,1.8707,0.0000,740,5000
1.23,5000,448.5,2.2298,0.0000,740,5000
1.23,5000,190.6,5.2479,1.0726,740,5000
1.24,5000,344.5,2.9029,0.0000,740,5000
1.24,5000,520.4,1.9216,0.0000,740,5000
1.24,5000,393.4,2.5420,0.0000,740,5000
1.24,5000,450.3,2.2206,0.0000,740,5000
1.25,5000,520.9,1.9196,0.0000,740,5000
1.25,5000,396.1,2.5245,0.0000,741,5000
1.25,5000,206.6,4.8397,0.8812,741,5000
1.26,5000,523.9,1.9088,0.0000,741,5000
1.26,5000,478.2,2.0911,0.0000,741,5000
1.26,5000,436.1,2.2933,0.0000,741,5000
1.26,5000,394.1,2.5374,0.0000,741,5000
1.26,5000,524.7,1.9058,0.0000,741,5000
1.27,5000,538.1,1.8585,0.0000,741,5000
1.27,5000,529.2,1.8895,0.0000,741,5000
1.27,5000,228.7,4.3716,0.9850,741,5000
1.27,5000,530.0,1.8868,0.0000,741,5000
1.28,5000,539.5,1.8536,0.0000,741,5000
1.28,5000,543.1,1.8412,0.0000,741,5000
1.28,5000,538.8,1.8559,0.0000,741,5000
1.28,5000,519.7,1.9242,0.0000,741,5000
1.28,5000,509.3,1.9634,0.0000,741,5000
1.29,5000,510.0,1.9608,0.0000,741,5000
1.29,5000,497.6,2.0096,0.0000,741,5000
1.29,5000,232.8,4.2958,0.9852,741,5000
1.29,5000,385.1,2.5966,0.0000,741,5000
1.30,5000,385.2,2.5960,0.0000,741,5000
1.30,5000,505.5,1.9784,0.0000,741,5000
1.30,5000,362.0,2.7627,0.0000,741,5000
1.30,5000,365.0,2.7399,0.0000,741,5000
1.31,5000,481.4,2.0772,0.0000,741,5000
1.31,5000,520.4,1.9216,0.0000,742,5000
1.31,5000,234.5,4.2636,0.8680,742,5000
1.31,5000,516.5,1.9360,0.0000,742,5000
1.32,5000,514.6,1.9433,0.0000,742,5000
1.32,5000,541.8,1.8457,0.0000,742,5000
1.32,5000,405.7,2.4651,0.0000,742,5000
1.32,5000,515.4,1.9404,0.0000,742,5000
1.32,5000,533.5,1.8745,0.0000,742,5000
1.33,5000,400.7,2.4959,0.0000,742,5000
1.33,5000,229.2,4.3623,1.0986,742,5000
1.33,5000,526.4,1.8998,0.0000,742,5000
1.34,5000,397.0,2.5190,0.0000,742,5000
1.34,5000,543.9,1.8386,0.0000,742,5000
1.34,5000,527.5,1.8956,0.0000,742,5000
1.34,5000,547.4,1.8269,0.0000,742,5000
1.34,5000,544.1,1.8379,0.0000,742,5000
1.35,5000,431.3,2.3184,0.0000,742,5000
1.35,5000,419.5,2.3836,0.0000,742,5000
1.35,5000,240.4,4.1601,0.9887,742,5000
1.35,5000,519.5,1.9250,0.0000,742,5000
1.36,5000,240.6,4.1557,0.0000,740,5000
1.36,5000,459.9,2.1744,0.0000,740,5000
1.36,5000,530.5,1.8850,0.0000,740,5000
1.36,5000,398.5,2.5093,0.0000,740,5000
1.37,5000,539.2,1.8545,0.0000,740,5000
1.37,5000,390.0,2.5640,0.0000,740,5000
1.37,5000,219.4,4.5578,0.9996,740,5000
1.38,5000,367.3,2.7229,0.0000,740,5000
1.38,5000,457.5,2.1858,0.0000,740,5000
1.38,5000,481.1,2.0786,0.0000,740,5000
1.38,5000,490.4,2.0393,0.0000,740,5000
1.38,5000,534.0,1.8725,0.0000,740,5000
1.39,5000,526.5,1.8992,0.0000,740,5000
