Time,ObjectCount,FPS,PhysicsTime(ms),TotalMemory(MB),ActiveObjects
0.68,1000,389.0,0.3054,1145,1000
0.68,1000,605.6,0.0000,1145,1000
0.68,1000,678.1,0.0000,1145,1000
0.68,1000,590.9,0.0000,1145,1000
0.68,1000,680.0,0.0000,1145,1000
0.68,1000,694.2,0.0000,1145,1000
0.68,1000,698.3,0.0000,1145,1000
0.69,1000,685.8,0.0000,1145,1000
0.69,1000,657.0,0.0000,1145,1000
0.69,1000,682.5,0.0000,1145,1000
0.69,1000,694.8,0.0000,1145,1000
0.69,1000,692.2,0.0000,1145,1000
0.69,1000,482.3,0.2891,1145,1000
0.70,1000,699.5,0.0000,1145,1000
0.70,1000,667.0,0.0000,1145,1000
0.70,1000,666.9,0.0000,1145,1000
0.70,1000,540.3,0.0000,1145,1000
0.70,1000,591.0,0.0000,1145,1000
0.70,1000,679.8,0.0000,1145,1000
0.70,1000,697.1,0.0000,1145,1000
0.71,1000,679.0,0.0000,1145,1000
0.71,1000,694.6,0.0000,1145,1000
0.71,1000,658.1,0.0000,1145,1000
0.71,1000,668.8,0.0000,1145,1000
0.71,1000,643.0,0.0000,1145,1000
0.71,1000,418.3,0.2740,1145,1000
0.72,1000,670.2,0.0000,1145,1000
0.72,1000,670.1,0.0000,1145,1000
0.72,1000,673.3,0.0000,1145,1000
0.72,1000,690.4,0.0000,1145,1000
0.72,1000,701.0,0.0000,1145,1000
0.72,1000,662.9,0.0000,1145,1000
0.73,1000,703.4,0.0000,1145,1000
0.73,1000,697.4,0.0000,1145,1000
0.73,1000,705.5,0.0000,1145,1000
0.73,1000,706.6,0.0000,1145,1000
0.73,1000,709.4,0.0000,1145,1000
0.73,1000,695.0,0.0000,1145,1000
0.73,1000,445.8,0.3830,1145,1000
0.74,1000,697.3,0.0000,1146,1000
0.74,1000,695.3,0.0000,1146,1000
0.74,1000,702.5,0.0000,1146,1000
0.74,1000,692.0,0.0000,1146,1000
0.74,1000,705.3,0.0000,1146,1000
0.74,1000,703.1,0.0000,1146,1000
0.74,1000,701.4,0.0000,1146,1000
0.75,1000,702.6,0.0000,1146,1000
0.75,1000,706.7,0.0000,1146,1000
0.75,1000,684.1,0.0000,1145,1000
0.75,1000,691.4,0.0000,1145,1000
0.75,1000,656.5,0.0000,1145,1000
0.75,1000,504.1,0.2430,1145,1000
0.76,1000,683.5,0.0000,1146,1000
0.76,1000,693.8,0.0000,1146,1000
0.76,1000,685.9,0.0000,1146,1000
0.76,1000,676.3,0.0000,1146,1000
0.76,1000,699.3,0.0000,1146,1000
0.76,1000,690.2,0.0000,1146,1000
0.76,1000,660.5,0.0000,1146,1000
0.77,1000,683.0,0.0000,1146,1000
0.77,1000,707.2,0.0000,1146,1000
0.77,1000,688.8,0.0000,1146,1000
0.77,1000,679.8,0.0000,1146,1000
0.78,1000,181.1,0.0000,1142,1000
0.78,1000,480.6,0.2635,1142,1000
0.78,1000,589.9,0.0000,1143,1000
0.78,1000,633.7,0.0000,1143,1000
0.78,1000,690.8,0.0000,1143,1000
0.78,1000,683.5,0.0000,1143,1000
0.78,1000,692.3,0.0000,1143,1000
0.79,1000,635.1,0.0000,1143,1000
0.79,1000,684.2,0.0000,1143,1000
0.79,1000,692.7,0.0000,1143,1000
0.79,1000,672.0,0.0000,1142,1000
0.79,1000,700.4,0.0000,1142,1000
0.79,1000,488.8,0.2573,1142,1000
0.80,1000,560.2,0.0000,1143,1000
0.80,1000,599.1,0.0000,1143,1000
0.80,1000,560.6,0.0000,1143,1000
0.80,1000,684.4,0.0000,1143,1000
0.80,1000,585.3,0.0000,1143,1000
0.80,1000,572.4,0.0000,1143,1000
0.81,1000,691.8,0.0000,1143,1000
0.81,1000,687.6,0.0000,1143,1000
0.81,1000,673.5,0.0000,1143,1000
0.81,1000,583.0,0.0000,1143,1000
0.81,1000,664.6,0.0000,1143,1000
0.81,1000,465.9,0.3327,1143,1000
0.82,1000,681.9,0.0000,1143,1000
0.82,1000,635.2,0.0000,1143,1000
0.82,1000,705.2,0.0000,1143,1000
0.82,1000,692.1,0.0000,1143,1000
0.82,1000,696.2,0.0000,1143,1000
0.82,1000,673.4,0.0000,1143,1000
0.82,1000,679.3,0.0000,1143,1000
0.83,1000,705.2,0.0000,1143,1000
0.83,1000,684.5,0.0000,1143,1000
